file_a,file_b,cochange_count,jaccard
src/api/schemas/regional_dto.py,src/application/use_cases/regional/update_regional.py,2,0.500000
src/api/schemas/regional_dto.py,src/domain/entities/regional.py,2,0.333333
src/api/schemas/regional_dto.py,src/domain/exceptions.py,2,0.400000
src/application/schemas/result_enums.py,src/application/use_cases/regional/__init__.py,2,0.666667
src/application/schemas/result_enums.py,src/application/use_cases/regional/create_regional.py,2,0.666667
src/application/schemas/result_enums.py,src/application/use_cases/regional/delete_regional.py,2,0.666667
src/application/schemas/result_enums.py,src/application/use_cases/regional/get_regional.py,2,0.666667
src/application/schemas/result_enums.py,src/application/use_cases/regional/get_regionals.py,2,0.666667
src/application/schemas/result_enums.py,src/application/use_cases/regional/update_regional.py,2,0.666667
src/application/schemas/result_enums.py,src/domain/entities/regional.py,2,0.400000
src/application/schemas/result_enums.py,src/domain/exceptions.py,3,1.000000
src/application/schemas/result_enums.py,src/infrastructure/repositories/django_regional_repository.py,2,0.400000
src/application/use_cases/regional/__init__.py,src/application/use_cases/regional/create_regional.py,2,1.000000
src/application/use_cases/regional/__init__.py,src/application/use_cases/regional/delete_regional.py,2,1.000000
src/application/use_cases/regional/__init__.py,src/application/use_cases/regional/get_regional.py,2,1.000000
src/application/use_cases/regional/__init__.py,src/application/use_cases/regional/get_regionals.py,2,1.000000
src/application/use_cases/regional/__init__.py,src/application/use_cases/regional/update_regional.py,2,1.000000
src/application/use_cases/regional/__init__.py,src/domain/entities/regional.py,2,0.500000
src/application/use_cases/regional/__init__.py,src/domain/exceptions.py,2,0.666667
src/application/use_cases/regional/__init__.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/application/use_cases/regional/create_regional.py,src/application/use_cases/regional/delete_regional.py,2,1.000000
src/application/use_cases/regional/create_regional.py,src/application/use_cases/regional/get_regional.py,2,1.000000
src/application/use_cases/regional/create_regional.py,src/application/use_cases/regional/get_regionals.py,2,1.000000
src/application/use_cases/regional/create_regional.py,src/application/use_cases/regional/update_regional.py,2,1.000000
src/application/use_cases/regional/create_regional.py,src/domain/entities/regional.py,2,0.500000
src/application/use_cases/regional/create_regional.py,src/domain/exceptions.py,2,0.666667
src/application/use_cases/regional/create_regional.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/application/use_cases/regional/delete_regional.py,src/application/use_cases/regional/get_regional.py,2,1.000000
src/application/use_cases/regional/delete_regional.py,src/application/use_cases/regional/get_regionals.py,2,1.000000
src/application/use_cases/regional/delete_regional.py,src/application/use_cases/regional/update_regional.py,2,1.000000
src/application/use_cases/regional/delete_regional.py,src/domain/entities/regional.py,2,0.500000
src/application/use_cases/regional/delete_regional.py,src/domain/exceptions.py,2,0.666667
src/application/use_cases/regional/delete_regional.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/application/use_cases/regional/get_regional.py,src/application/use_cases/regional/get_regionals.py,2,1.000000
src/application/use_cases/regional/get_regional.py,src/application/use_cases/regional/update_regional.py,2,1.000000
src/application/use_cases/regional/get_regional.py,src/domain/entities/regional.py,2,0.500000
src/application/use_cases/regional/get_regional.py,src/domain/exceptions.py,2,0.666667
src/application/use_cases/regional/get_regional.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/application/use_cases/regional/get_regionals.py,src/application/use_cases/regional/update_regional.py,2,1.000000
src/application/use_cases/regional/get_regionals.py,src/domain/entities/regional.py,2,0.500000
src/application/use_cases/regional/get_regionals.py,src/domain/exceptions.py,2,0.666667
src/application/use_cases/regional/get_regionals.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/application/use_cases/regional/update_regional.py,src/domain/entities/regional.py,2,0.500000
src/application/use_cases/regional/update_regional.py,src/domain/exceptions.py,2,0.666667
src/application/use_cases/regional/update_regional.py,src/infrastructure/repositories/django_regional_repository.py,2,0.500000
src/domain/entities/regional.py,src/domain/exceptions.py,2,0.400000
src/domain/entities/regional.py,src/infrastructure/repositories/django_regional_repository.py,2,0.333333
src/domain/exceptions.py,src/infrastructure/repositories/django_regional_repository.py,2,0.400000
src/domain/entities/regional.py,src/domain/repositories/regional_repository.py,2,0.500000
src/domain/entities/regional.py,src/infrastructure/models/regional_model.py,2,0.333333
src/domain/repositories/regional_repository.py,src/infrastructure/models/regional_model.py,2,0.500000
src/application/use_cases/car/create_car.py,src/application/use_cases/car/update_car.py,2,1.000000
pull_request_template.md,src/api/cars.py,2,0.666667
api/openapi.yml,api/paths/regional.yml,3,0.375000
api/openapi.yml,api/paths/regional_by_id.yml,2,0.250000
api/paths/regional.yml,api/paths/regional_by_id.yml,2,0.666667
api/openapi.yml,api/paths/cars_by_id.yml,3,0.230769
api/openapi.yml,api/paths/cars_list.yml,2,0.153846
api/paths/cars_by_id.yml,api/paths/cars_list.yml,7,0.875000
src/api/users.py,src/application/schemas/user_dto.py,3,1.000000
src/api/users.py,src/application/use_cases/user/register_user.py,2,0.400000
src/api/users.py,src/domain/entities/user.py,2,0.500000
src/api/users.py,src/domain/repositories/user_repository.py,2,0.400000
src/api/users.py,src/infrastructure/models/user_model.py,3,1.000000
src/api/users.py,src/infrastructure/repositories/django_user_repository.py,3,0.750000
src/application/schemas/user_dto.py,src/application/use_cases/user/register_user.py,2,0.400000
src/application/schemas/user_dto.py,src/domain/entities/user.py,2,0.500000
src/application/schemas/user_dto.py,src/domain/repositories/user_repository.py,2,0.400000
src/application/schemas/user_dto.py,src/infrastructure/models/user_model.py,3,1.000000
src/application/schemas/user_dto.py,src/infrastructure/repositories/django_user_repository.py,3,0.750000
src/application/use_cases/user/register_user.py,src/domain/entities/user.py,3,0.750000
src/application/use_cases/user/register_user.py,src/domain/repositories/user_repository.py,4,1.000000
src/application/use_cases/user/register_user.py,src/infrastructure/models/user_model.py,2,0.400000
src/application/use_cases/user/register_user.py,src/infrastructure/repositories/django_user_repository.py,3,0.600000
src/domain/entities/user.py,src/domain/repositories/user_repository.py,3,0.750000
src/domain/entities/user.py,src/infrastructure/models/user_model.py,2,0.500000
src/domain/entities/user.py,src/infrastructure/repositories/django_user_repository.py,2,0.400000
src/domain/repositories/user_repository.py,src/infrastructure/models/user_model.py,2,0.400000
src/domain/repositories/user_repository.py,src/infrastructure/repositories/django_user_repository.py,3,0.600000
src/infrastructure/models/user_model.py,src/infrastructure/repositories/django_user_repository.py,3,0.750000
merentalbe3/asgi.py,merentalbe3/urls.py,2,1.000000
merentalbe3/asgi.py,merentalbe3/wsgi.py,2,1.000000
merentalbe3/urls.py,merentalbe3/wsgi.py,2,1.000000
presentation/rest/serializer/user_create.py,presentation/rest/views/user_view.py,2,1.000000
presentation/rest/serializer/user_create.py,shared/constants/status_codes.py,2,1.000000
presentation/rest/serializer/user_create.py,shared/utils/date_utils.py,2,1.000000
presentation/rest/serializer/user_create.py,src/application/dtos/user_dto.py,2,1.000000
presentation/rest/serializer/user_create.py,src/application/handler/user_created_handler.py,2,1.000000
presentation/rest/serializer/user_create.py,src/domain/aggregates/Reservation.py,2,1.000000
presentation/rest/serializer/user_create.py,src/domain/events/user_created.py,2,1.000000
presentation/rest/serializer/user_create.py,src/domain/services/Autentification.py,2,1.000000
presentation/rest/serializer/user_create.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
presentation/rest/serializer/user_create.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
presentation/rest/views/user_view.py,shared/constants/status_codes.py,2,1.000000
presentation/rest/views/user_view.py,shared/utils/date_utils.py,2,1.000000
presentation/rest/views/user_view.py,src/application/dtos/user_dto.py,2,1.000000
presentation/rest/views/user_view.py,src/application/handler/user_created_handler.py,2,1.000000
presentation/rest/views/user_view.py,src/domain/aggregates/Reservation.py,2,1.000000
presentation/rest/views/user_view.py,src/domain/events/user_created.py,2,1.000000
presentation/rest/views/user_view.py,src/domain/services/Autentification.py,2,1.000000
presentation/rest/views/user_view.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
presentation/rest/views/user_view.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
shared/constants/status_codes.py,shared/utils/date_utils.py,2,1.000000
shared/constants/status_codes.py,src/application/dtos/user_dto.py,2,1.000000
shared/constants/status_codes.py,src/application/handler/user_created_handler.py,2,1.000000
shared/constants/status_codes.py,src/domain/aggregates/Reservation.py,2,1.000000
shared/constants/status_codes.py,src/domain/events/user_created.py,2,1.000000
shared/constants/status_codes.py,src/domain/services/Autentification.py,2,1.000000
shared/constants/status_codes.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
shared/constants/status_codes.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
shared/utils/date_utils.py,src/application/dtos/user_dto.py,2,1.000000
shared/utils/date_utils.py,src/application/handler/user_created_handler.py,2,1.000000
shared/utils/date_utils.py,src/domain/aggregates/Reservation.py,2,1.000000
shared/utils/date_utils.py,src/domain/events/user_created.py,2,1.000000
shared/utils/date_utils.py,src/domain/services/Autentification.py,2,1.000000
shared/utils/date_utils.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
shared/utils/date_utils.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
src/application/dtos/user_dto.py,src/application/handler/user_created_handler.py,2,1.000000
src/application/dtos/user_dto.py,src/domain/aggregates/Reservation.py,2,1.000000
src/application/dtos/user_dto.py,src/domain/events/user_created.py,2,1.000000
src/application/dtos/user_dto.py,src/domain/services/Autentification.py,2,1.000000
src/application/dtos/user_dto.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
src/application/dtos/user_dto.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
src/application/handler/user_created_handler.py,src/domain/aggregates/Reservation.py,2,1.000000
src/application/handler/user_created_handler.py,src/domain/events/user_created.py,2,1.000000
src/application/handler/user_created_handler.py,src/domain/services/Autentification.py,2,1.000000
src/application/handler/user_created_handler.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
src/application/handler/user_created_handler.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
src/domain/aggregates/Reservation.py,src/domain/events/user_created.py,2,1.000000
src/domain/aggregates/Reservation.py,src/domain/services/Autentification.py,2,1.000000
src/domain/aggregates/Reservation.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
src/domain/aggregates/Reservation.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
src/domain/events/user_created.py,src/domain/services/Autentification.py,2,1.000000
src/domain/events/user_created.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
src/domain/events/user_created.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
src/domain/services/Autentification.py,src/infrastructure/persistant/models/user_model.py,2,1.000000
src/domain/services/Autentification.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
src/infrastructure/persistant/models/user_model.py,src/infrastructure/persistant/repositories/django_user_repository.py,2,1.000000
